Năm,Khu vực kinh tế,Số lượng doanh nghiệp thành lập mới
2019,"Nông, lâm nghiệp và thủy sản",2029
2019,Công nghiệp - Xây dựng,19555
2019,Dịch vụ,99548
2020,"Nông, lâm nghiệp và thủy sản",2640
2020,Công nghiệp - Xây dựng,23197
2020,Dịch vụ,92023
2021,"Nông, lâm nghiệp và thủy sản",1999
2021,Công nghiệp - Xây dựng,16901
2021,Dịch vụ,83591
2022,"Nông, lâm nghiệp và thủy sản",1959
2022,Công nghiệp - Xây dựng,20334
2022,Dịch vụ,110285
2023,"Nông, lâm nghiệp và thủy sản",1776
2023,Công nghiệp - Xây dựng,20733
2023,Dịch vụ,119487
2024,"Nông, lâm nghiệp và thủy sản",1622
2024,Công nghiệp - Xây dựng,20978
2024,Dịch vụ,118840
