Năm,Khu vực kinh tế,Tỷ lệ thiếu việc làm
2019,"Nông, lâm nghiệp và thủy sản",3.45
2019,Công nghiệp - Xây dựng,0.43
2019,Dịch vụ,0.87
2020,"Nông, lâm nghiệp và thủy sản",4.7
2020,Công nghiệp - Xây dựng,1.49
2020,Dịch vụ,1.74
2021,"Nông, lâm nghiệp và thủy sản",3.1
2021,Công nghiệp - Xây dựng,4.18
2021,Dịch vụ,2.6
2022,"Nông, lâm nghiệp và thủy sản",4
2022,Công nghiệp - Xây dựng,1.44
2022,Dịch vụ,1.81
2023,"Nông, lâm nghiệp và thủy sản",3.52
2023,Công nghiệp - Xây dựng,1.7
2023,Dịch vụ,1.41
2024,"Nông, lâm nghiệp và thủy sản",3.86
2024,Công nghiệp - Xây dựng,1.17
2024,Dịch vụ,1.33
